index,input,type,A,B,C,D,E,F,summary,A_c,B_c,C_c,D_c,E_c,F_c,sentiment_gpt
74,"生成AIを用いた絵がイラストレーター・声優・小説家・俳優業に対して被害を被っている状況を引き起こしている。
生成AIの規制が可能な限り著作者側からの対処が可能なようにするべきである。",規範的主張,生成AIを用いた絵,被害を被っている,生成AIの規制,著作者側からの対処が可能なようにする,NA,NA,生成AIを用いた絵が被害を被っているから、生成AIの規制が著作者側からの対処が可能なようにするべきである。,0,268,44,2224,2960,2960,0.1
75,"AIイラストの学習量の大半が無許可の学習であることが国立図書館がデータベース化した蔵書のデータを無断で使うことよりも多い分量である。
図書館の利用が許可が必要である。",要望,AIイラストの学習量,無許可の学習が多い,NA,NA,図書館,利用許可を必要とする,AIイラストの学習量が無許可の学習が多いから、図書館に対して利用許可を必要として欲しい。,104,1720,2960,2960,4324,4642,0.1
76,"生成AIが児童ポルノ画像の学習に対して実際に居る人間を殆ど再現出来てしまっている状態にある。
政府が速やかに法整備し人々を守るべきである。",規範的主張,生成AIが児童ポルノ画像の学習,実際に居る人間を殆ど再現出来てしまっている状態,政府が速やかに法整備,人々を守るべき,NA,NA,生成AIが児童ポルノ画像の学習に対して実際に居る人間を殆ど再現出来てしまっている状態にあるから、政府が速やかに法整備し人々を守るべきである。,58,1092,4258,4867,2960,2960,0.1
78,"指示と表現との因果関係がAI利用者の創造性はほとんど関与していない状況を引き起こしている。
AI利用者による創作的寄与が認めるべきではない。",規範的主張,AI利用者の創造性,ほとんど関与していない,AI利用者による創作的寄与,認めるべきではない,NA,NA,AI利用者の創造性がほとんど関与していないから、AI利用者による創作的寄与は認めるべきではない。,2153,3575,3162,265,2960,2960,0.2
82,"AI生成が既存作品に対して影響を及ぼしている。
AI生成物が容易に検索結果から除外できること。",要望,AI生成が,既存作品に影響,NA,NA,検索結果,AI生成物を除外,AI生成が既存作品に影響しているから、検索結果に対してAI生成物を除外して欲しい。,0,318,2960,2960,1447,4818,0.1
83,"画像生成サービスがクリエイターの作品に対して無慈悲に学習している。
現行の著作権法が追い付いていないと捉えている。",規範的主張,画像生成サービス,クリエイターの作品に無慈悲,著作権法の改正,必要,NA,NA,画像生成サービスがクリエイターの作品に無慈悲に学習しているから著作権法の改正が必要である。,2585,1880,101,39,2960,2960,0.1
84,"AI生成が特定の動物の画像に対して正しくない画像を本物だと思わせてしまう。
画像生成AIが禁止すべきである。",規範的主張,AI生成,特定の動物の画像に対して正しくない画像を本物だと思わせてしまう,画像生成AI,禁止,NA,NA,AI生成が特定の動物の画像に対して正しくない画像を本物だと思わせてしまうから、画像生成AIは禁止すべきである。,0,1828,0,774,2960,2960,0.1
85,"生成AIを利用した創作の明記が攻撃・中傷による投稿の取り下げを引き起こしている。
政府が生成AI使用の表記が国内法上義務であるかを明記して欲しい。",要望,生成AIを利用した創作の明記,攻撃・中傷による投稿の取り下げを引き起こしている,NA,NA,政府,生成AI使用の表記が国内法上義務であるかを明記,生成AIを利用した創作の明記が攻撃・中傷による投稿の取り下げを引き起こしているから、政府に対して生成AI使用の表記が国内法上義務であるかを明記して欲しい。,0,2629,2960,2960,2383,1791,0.2
86,"生成AIがクリエイターの作品に対して盗んでいる。
生成AIが禁止されるべきである。",規範的主張,生成AI,クリエイターの作品を盗む,生成AI,禁止されるべき,NA,NA,生成AIがクリエイターの作品を盗むから、生成AIは禁止されるべきである。,0,1991,0,48,2960,2960,0.1
88,"他者の持ち物を盗用することを前提としている画像生成AIが違法性に対して引き起こしている。
画像生成AIの法整備が必要である。",規範的主張,画像生成AI,違法性に対して引き起こしている,法整備,必要,NA,NA,画像生成AIが違法性に対して引き起こしているから法整備が必要である。,0,4534,329,39,2960,2960,0.1
89,"生成AIのImagetoImage機能やクリエイターの名称をプロンプト入力して生成されたイラストをコメント欄に貼る行為が既存のクリエイターに対して悪意を持って接するケースが多く見られる状況を引き起こしている。
SNSを用いた周知徹底が大切である。",規範的主張,生成AIのImagetoImage機能,クリエイターに対して悪意を持って接するケースが多く見られる状況,SNSを用いた周知徹底,大切,NA,NA,生成AIのImagetoImage機能がクリエイターに対して悪意を持って接するケースが多く見られる状況であるから、SNSを用いた周知徹底が大切である。,511,1122,4772,2059,2960,2960,0.2
91,"児童性的虐待画像を含む学習データセットである「LAION5-B」とその亜種を利用した生成AIの日本による世界先駆けの利用が国際社会からに対して侮蔑の目で見られ国益を損ない先祖末代までの汚名となること。
児童性的虐待画像を含む学習データセットの利用が厳然たる法規制での対応が整うまでは現状の生成AIの利用を促すいかなる類の法的庇護も与えられるべきではない。",規範的主張,児童性的虐待画像を含む学習データセット,国益を損ない汚名となる,法的庇護,与えられるべきではない,NA,NA,児童性的虐待画像を含む学習データセットは国益を損ない汚名となるから、法的庇護は与えられるべきではない。,1620,1104,2282,1386,2960,2960,0.1
